user_id,top_concept_names,top_concept_acts,overlap,new_items,popular_before,popular_after
5991,popularity|modern|Horror,+0.522|+0.474|+0.433,5,15,14,10
5990,popularity|Romance|Musical,+0.340|+0.254|+0.235,14,6,8,6
5989,modern|Fantasy|contemporary,+0.415|+0.278|+0.259,13,7,3,8
5988,Comedy|modern|popularity,+0.804|+0.359|+0.287,8,12,6,7
5987,popularity|contemporary|Musical,+0.588|+0.260|+0.255,13,7,18,17
5986,Romance|popularity|Musical,+0.891|+0.357|+0.279,8,12,11,7
5984,Sci-Fi|popularity|Fantasy,+0.710|+0.421|+0.280,4,16,17,9
5983,Sci-Fi|popularity|Fantasy,+0.752|+0.463|+0.301,4,16,18,10
5982,popularity|Comedy|Romance,+0.723|+0.378|+0.333,8,12,20,15
5981,popularity|Comedy|retro,+0.172|+0.171|+0.153,14,6,5,7
5979,popularity|retro|Musical,+0.198|+0.168|+0.162,11,9,6,2
5980,popularity|classic|retro,+0.388|+0.220|+0.200,3,17,8,2
5978,popularity|Crime|Action,+0.509|+0.493|+0.457,10,10,12,8
5977,retro|War|Western,+0.344|+0.193|+0.191,17,3,2,2
5976,retro|popularity|Fantasy,+0.709|+0.406|+0.180,6,14,16,11
5975,Adventure|popularity|Action,+0.733|+0.496|+0.366,9,11,17,13
5974,Drama|modern|War,+0.731|+0.371|+0.153,10,10,0,1
5973,Sci-Fi|popularity|Fantasy,+0.748|+0.407|+0.275,4,16,16,9
5972,contemporary|popularity|Crime,+0.736|+0.480|+0.257,8,12,7,11
5971,Adventure|Fantasy|popularity,+0.897|+0.372|+0.356,12,8,2,2
5970,Sci-Fi|Action|Adventure,+0.813|+0.304|+0.293,11,9,4,1
5969,Comedy|popularity|contemporary,+0.784|+0.398|+0.261,5,15,15,9
5968,Action|popularity|War,+0.657|+0.389|+0.254,9,11,15,14
5967,modern|Documentary|Fantasy,+0.234|+0.189|+0.175,12,8,7,9
5966,modern|popularity|Drama,+0.525|+0.444|+0.282,5,15,15,17
5965,popularity|Animation|contemporary,+0.289|+0.263|+0.259,18,2,6,6
5964,modern|Animation|Sci-Fi,+0.437|+0.141|+0.127,14,6,2,2
5963,Action|popularity|Crime,+0.824|+0.550|+0.262,1,19,18,10
5962,popularity|Documentary|retro,+0.544|+0.324|+0.283,6,14,20,19
5961,Thriller|modern|Mystery,+0.724|+0.348|+0.250,10,10,0,1
5960,contemporary|popularity|Mystery,+0.357|+0.257|+0.223,17,3,7,7
5959,Comedy|modern|popularity,+0.721|+0.454|+0.284,6,14,7,8
5958,popularity|Comedy|retro,+0.353|+0.307|+0.291,14,6,9,7
5957,Comedy|popularity|Animation,+0.837|+0.403|+0.261,7,13,12,5
5956,contemporary|popularity|modern,+0.670|+0.372|+0.299,11,9,4,9
5955,retro|popularity|Musical,+0.186|+0.172|+0.148,11,9,6,5
5954,Musical|classic|Western,+0.933|+0.487|+0.379,11,9,1,2
5953,classic|popularity|Documentary,+0.498|+0.339|+0.313,11,9,13,17
5952,Action|popularity|War,+0.620|+0.408|+0.278,11,9,16,13
5951,popularity|Animation|retro,+0.776|+0.245|+0.177,5,15,20,18
5950,contemporary|popularity|Sci-Fi,+0.830|+0.449|+0.251,14,6,9,9
5948,Comedy|popularity|Documentary,+0.692|+0.351|+0.232,13,7,15,10
5947,Horror|Sci-Fi|classic,+0.896|+0.304|+0.255,5,15,2,1
5946,War|popularity|retro,+0.547|+0.475|+0.209,15,5,12,12
5945,Drama|retro|War,+0.397|+0.285|+0.200,17,3,3,3
5944,Romance|popularity|War,+0.796|+0.328|+0.245,6,14,9,6
5943,popularity|Crime|classic,+0.597|+0.274|+0.248,7,13,15,14
5942,Thriller|Mystery|popularity,+0.849|+0.272|+0.222,12,8,3,4
5941,classic|niche|Documentary,+0.467|+0.391|+0.258,11,9,10,17
5940,popularity|Musical|contemporary,+0.281|+0.266|+0.261,18,2,6,6
5939,contemporary|popularity|Drama,+0.617|+0.554|+0.199,12,8,11,13
5938,Documentary|Crime|popularity,+0.882|+0.307|+0.289,10,10,0,10
5937,popularity|classic|Documentary,+0.517|+0.491|+0.303,10,10,16,17
5949,contemporary|popularity|Crime,+0.925|+0.376|+0.231,6,14,3,6
5936,popularity|retro|Animation,+0.697|+0.264|+0.260,8,12,20,18
5935,Comedy|popularity|modern,+0.735|+0.484|+0.331,8,12,12,11
5934,popularity|Documentary|classic,+0.556|+0.267|+0.248,9,11,19,20
5933,popularity|Western|contemporary,+0.394|+0.390|+0.343,17,3,7,6
5932,Action|popularity|modern,+0.745|+0.455|+0.320,9,11,18,18
5931,Action|popularity|Sci-Fi,+0.732|+0.558|+0.233,5,15,18,11
5930,Thriller|Mystery|popularity,+0.915|+0.353|+0.310,8,12,5,3
5929,Horror|contemporary|Sci-Fi,+0.777|+0.285|+0.256,11,9,0,0
5928,Western|classic|Musical,+0.666|+0.478|+0.262,10,10,1,10
5927,contemporary|popularity|Documentary,+0.839|+0.340|+0.257,9,11,4,10
5926,Action|popularity|Adventure,+0.902|+0.381|+0.308,7,13,13,6
5925,popularity|Mystery|classic,+0.525|+0.258|+0.258,13,7,18,17
5924,popularity|Comedy|Animation,+0.438|+0.401|+0.257,16,4,20,17
5923,popularity|Romance|contemporary,+0.753|+0.339|+0.316,5,15,20,16
5922,Documentary|Drama|niche,+0.448|+0.400|+0.375,13,7,13,15
5921,Western|popularity|War,+0.773|+0.560|+0.286,17,3,5,6
5920,contemporary|popularity|Drama,+0.571|+0.557|+0.187,13,7,13,14
5919,popularity|Animation|Western,+0.383|+0.316|+0.307,16,4,9,6
5918,popularity|retro|Animation,+0.761|+0.309|+0.229,8,12,20,20
5917,Comedy|popularity|Musical,+0.802|+0.398|+0.257,11,9,16,9
5916,Thriller|Mystery|Crime,+0.875|+0.315|+0.238,10,10,3,3
5915,Comedy|popularity|Fantasy,+0.714|+0.338|+0.213,13,7,4,6
5914,Crime|popularity|Mystery,+0.856|+0.472|+0.255,5,15,10,8
5913,modern|popularity|Drama,+0.568|+0.516|+0.190,4,16,18,16
5912,popularity|Comedy|Animation,+0.574|+0.180|+0.180,2,18,15,11
5911,Comedy|modern|popularity,+0.572|+0.432|+0.389,13,7,14,19
5910,Drama|modern|popularity,+0.743|+0.468|+0.272,5,15,2,7
5909,Horror|popularity|retro,+0.808|+0.380|+0.285,9,11,8,8
5908,Comedy|popularity|Musical,+0.738|+0.520|+0.202,9,11,18,16
5907,popularity|Documentary|classic,+0.376|+0.370|+0.350,11,9,19,17
5906,popularity|War|modern,+0.675|+0.477|+0.214,15,5,16,19
5905,Sci-Fi|Fantasy|Horror,+0.843|+0.311|+0.281,12,8,13,9
5904,popularity|Fantasy|Western,+0.290|+0.170|+0.163,16,4,7,6
5903,popularity|Mystery|Fantasy,+0.487|+0.441|+0.337,16,4,12,11
5902,Thriller|popularity|classic,+0.627|+0.324|+0.312,12,8,5,8
5901,popularity|modern|Thriller,+0.631|+0.359|+0.304,6,14,15,13
5900,Drama|popularity|modern,+0.766|+0.207|+0.206,8,12,2,2
5899,popularity|Western|Comedy,+0.255|+0.188|+0.185,13,7,11,5
5898,popularity|Western|contemporary,+0.490|+0.349|+0.319,15,5,13,9
5897,Fantasy|Musical|retro,+0.191|+0.179|+0.167,12,8,8,8
5896,Comedy|modern|Documentary,+0.658|+0.322|+0.203,15,5,0,0
5895,Crime|Mystery|Fantasy,+0.896|+0.334|+0.259,15,5,3,4
5894,popularity|Drama|classic,+0.346|+0.342|+0.316,13,7,17,18
5893,Comedy|popularity|Documentary,+0.866|+0.218|+0.193,10,10,5,5
5892,Sci-Fi|modern|popularity,+0.771|+0.354|+0.327,11,9,12,10
5891,popularity|contemporary|Animation,+0.359|+0.339|+0.310,17,3,8,7
5890,contemporary|popularity|War,+0.721|+0.431|+0.420,11,9,11,13
5889,Comedy|popularity|Musical,+0.791|+0.337|+0.237,8,12,17,10
5888,Comedy|Documentary|Fantasy,+0.422|+0.351|+0.277,18,2,0,0
5887,Animation|Musical|Fantasy,+0.577|+0.438|+0.360,14,6,4,8
5886,contemporary|popularity|Animation,+0.926|+0.394|+0.230,11,9,5,4
5885,popularity|Crime|Documentary,+0.513|+0.507|+0.273,11,9,19,18
5884,Sci-Fi|popularity|Fantasy,+0.771|+0.404|+0.286,5,15,17,10
5883,popularity|Western|contemporary,+0.389|+0.382|+0.341,18,2,10,9
5881,modern|Drama|popularity,+0.517|+0.289|+0.196,13,7,0,0
5882,Sci-Fi|popularity|Fantasy,+0.748|+0.460|+0.286,5,15,15,10
5880,contemporary|popularity|Crime,+0.887|+0.306|+0.251,4,16,2,8
5879,Action|popularity|Sci-Fi,+0.801|+0.446|+0.248,6,14,18,9
5878,retro|popularity|Fantasy,+0.744|+0.253|+0.189,8,12,9,3
5877,Animation|popularity|Western,+0.421|+0.394|+0.320,15,5,8,8
5876,Action|popularity|War,+0.640|+0.550|+0.254,9,11,17,15
5875,popularity|Fantasy|Animation,+0.529|+0.444|+0.334,7,13,1,3
5874,contemporary|popularity|Mystery,+0.856|+0.419|+0.240,8,12,6,8
5873,Action|popularity|Sci-Fi,+0.783|+0.564|+0.283,2,18,20,11
5872,Comedy|popularity|retro,+0.458|+0.448|+0.279,14,6,1,0
5871,contemporary|popularity|Documentary,+0.623|+0.474|+0.272,14,6,11,15
5870,popularity|Sci-Fi|retro,+0.660|+0.547|+0.388,9,11,17,10
5869,popularity|modern|Romance,+0.603|+0.349|+0.345,4,16,9,4
5868,Comedy|popularity|Musical,+0.744|+0.400|+0.251,7,13,19,13
5867,popularity|contemporary|Musical,+0.325|+0.301|+0.232,17,3,6,4
5866,popularity|Animation|Documentary,+0.684|+0.254|+0.242,6,14,20,19
5865,Drama|popularity|War,+0.529|+0.378|+0.230,8,12,16,11
5864,popularity|Fantasy|Sci-Fi,+0.640|+0.351|+0.223,13,7,20,20
5863,Animation|popularity|Musical,+0.275|+0.259|+0.245,14,6,9,8
5862,Comedy|popularity|Musical,+0.850|+0.410|+0.191,4,16,11,8
5861,Comedy|popularity|Musical,+0.821|+0.332|+0.239,8,12,17,13
5860,Comedy|popularity|Musical,+0.869|+0.359|+0.191,6,14,10,8
5859,Drama|popularity|War,+0.574|+0.531|+0.224,7,13,14,10
5858,popularity|retro|Drama,+0.452|+0.167|+0.166,4,16,14,7
5857,popularity|Comedy|Western,+0.439|+0.223|+0.132,12,8,10,9
5856,popularity|Romance|Mystery,+0.386|+0.328|+0.293,15,5,6,2
5855,Western|popularity|Animation,+0.350|+0.333|+0.284,15,5,8,6
5854,Horror|retro|contemporary,+0.774|+0.243|+0.196,14,6,0,0
5853,popularity|Animation|Action,+0.353|+0.272|+0.224,18,2,6,6
5852,Thriller|popularity|Mystery,+0.812|+0.392|+0.353,7,13,10,2
5851,Documentary|popularity|Animation,+0.735|+0.385|+0.272,7,13,3,15
5850,Horror|classic|retro,+0.780|+0.328|+0.303,12,8,5,9
5849,Comedy|popularity|Animation,+0.670|+0.454|+0.260,3,17,19,4
5848,Western|War|classic,+0.916|+0.369|+0.352,16,4,3,6
5847,Fantasy|Animation|Adventure,+0.508|+0.424|+0.313,15,5,1,1
5846,popularity|Documentary|classic,+0.437|+0.310|+0.299,11,9,18,20
5845,Documentary|popularity|classic,+0.357|+0.356|+0.312,10,10,18,17
5844,popularity|Animation|contemporary,+0.317|+0.277|+0.271,18,2,7,8
5843,popularity|modern|Crime,+0.389|+0.389|+0.267,2,18,18,2
5842,Action|popularity|Sci-Fi,+0.820|+0.456|+0.263,5,15,15,8
5841,Comedy|retro|popularity,+0.593|+0.390|+0.267,14,6,15,10
5840,contemporary|popularity|Horror,+0.552|+0.528|+0.421,9,11,15,14
5839,popularity|Western|classic,+0.598|+0.520|+0.391,5,15,9,12
5838,Comedy|modern|popularity,+0.630|+0.402|+0.402,13,7,16,15
5837,contemporary|popularity|Animation,+0.795|+0.437|+0.224,14,6,8,9
5836,popularity|Fantasy|contemporary,+0.456|+0.290|+0.276,12,8,11,10
5835,Drama|popularity|War,+0.669|+0.343|+0.210,9,11,15,14
5834,Romance|popularity|classic,+0.679|+0.413|+0.267,10,10,11,10
5833,Western|contemporary|popularity,+0.406|+0.322|+0.314,17,3,7,6
5832,retro|Sci-Fi|popularity,+0.600|+0.580|+0.417,14,6,16,14
5831,contemporary|Horror|Mystery,+0.261|+0.208|+0.201,10,10,0,5
5830,Comedy|popularity|Romance,+0.705|+0.357|+0.256,10,10,15,13
5828,contemporary|popularity|Documentary,+0.302|+0.261|+0.247,16,4,10,7
5829,Action|popularity|War,+0.664|+0.429|+0.247,12,8,17,16
5827,Romance|popularity|modern,+0.787|+0.432|+0.334,10,10,11,8
5826,Animation|popularity|Musical,+0.863|+0.417|+0.399,9,11,4,1
5825,contemporary|popularity|modern,+0.581|+0.342|+0.222,12,8,9,10
5824,Comedy|Documentary|Fantasy,+0.587|+0.385|+0.243,16,4,0,0
5823,Animation|popularity|Musical,+0.646|+0.501|+0.405,6,14,10,13
5822,classic|Drama|War,+0.502|+0.313|+0.267,7,13,1,0
5821,contemporary|popularity|Animation,+0.738|+0.508|+0.420,12,8,9,11
5820,popularity|Comedy|Western,+0.696|+0.218|+0.199,11,9,20,17
5819,Action|popularity|modern,+0.713|+0.537|+0.244,7,13,19,19
5818,Mystery|popularity|Fantasy,+0.425|+0.408|+0.374,15,5,9,5
5817,Animation|popularity|contemporary,+0.274|+0.268|+0.254,18,2,6,6
5816,Mystery|popularity|Crime,+0.943|+0.337|+0.308,15,5,2,2
5815,popularity|Fantasy|Sci-Fi,+0.512|+0.318|+0.312,5,15,20,6
5814,popularity|Documentary|Animation,+0.681|+0.284|+0.268,11,9,20,20
5813,popularity|Comedy|Action,+0.664|+0.425|+0.370,7,13,17,11
5812,Romance|modern|popularity,+0.814|+0.436|+0.253,4,16,5,0
5811,contemporary|popularity|Drama,+0.662|+0.495|+0.222,8,12,14,8
5810,popularity|modern|contemporary,+0.472|+0.232|+0.229,17,3,12,10
5809,Comedy|popularity|modern,+0.750|+0.410|+0.330,11,9,13,10
5808,Comedy|popularity|Musical,+0.718|+0.478|+0.245,9,11,19,18
5807,modern|Drama|popularity,+0.473|+0.417|+0.382,10,10,15,18
5806,Drama|popularity|War,+0.792|+0.237|+0.182,4,16,4,0
5805,contemporary|popularity|Documentary,+0.519|+0.458|+0.212,10,10,13,17
5804,popularity|War|Romance,+0.459|+0.447|+0.384,14,6,11,12
5803,Comedy|popularity|modern,+0.711|+0.515|+0.342,9,11,18,18
5802,Documentary|contemporary|popularity,+0.716|+0.512|+0.276,9,11,4,14
5801,Sci-Fi|popularity|Adventure,+0.658|+0.323|+0.313,19,1,1,1
5800,Western|popularity|Animation,+0.384|+0.349|+0.316,16,4,7,6
5799,Thriller|popularity|Crime,+0.608|+0.446|+0.317,8,12,16,14
5798,popularity|Action|Crime,+0.508|+0.467|+0.355,13,7,18,17
5797,popularity|Sci-Fi|Adventure,+0.417|+0.338|+0.260,13,7,12,7
5796,Comedy|popularity|Documentary,+0.314|+0.209|+0.204,10,10,11,7
5795,Thriller|popularity|Mystery,+0.374|+0.336|+0.334,15,5,7,4
5794,Comedy|Documentary|Fantasy,+0.698|+0.255|+0.216,13,7,0,0
5793,War|classic|Western,+0.576|+0.530|+0.274,13,7,8,9
5792,popularity|contemporary|Western,+0.441|+0.380|+0.379,16,4,11,9
5791,Romance|popularity|Musical,+0.929|+0.372|+0.291,6,14,12,8
5790,popularity|Animation|retro,+0.626|+0.186|+0.185,3,17,19,16
5789,popularity|retro|classic,+0.197|+0.195|+0.182,11,9,4,2
5788,contemporary|Horror|popularity,+0.312|+0.297|+0.250,9,11,2,0
5787,Comedy|popularity|Documentary,+0.835|+0.330|+0.194,7,13,11,8
5786,contemporary|popularity|Sci-Fi,+0.552|+0.496|+0.225,16,4,12,15
5785,popularity|retro|Fantasy,+0.605|+0.593|+0.159,9,11,20,19
5784,popularity|Romance|contemporary,+0.376|+0.304|+0.272,17,3,7,5
5783,Romance|modern|Musical,+0.823|+0.372|+0.289,11,9,5,4
5782,popularity|modern|Crime,+0.673|+0.351|+0.234,2,18,16,14
5781,popularity|retro|Thriller,+0.201|+0.192|+0.164,12,8,6,2
5780,Thriller|popularity|Mystery,+0.550|+0.342|+0.329,10,10,6,2
5779,contemporary|popularity|Romance,+0.627|+0.512|+0.205,11,9,11,10
5778,Sci-Fi|popularity|Fantasy,+0.780|+0.328|+0.273,8,12,13,9
5777,Drama|popularity|classic,+0.515|+0.454|+0.280,13,7,20,19
5776,popularity|modern|War,+0.674|+0.448|+0.276,5,15,19,18
5775,classic|War|popularity,+0.430|+0.419|+0.372,7,13,12,14
5774,Fantasy|popularity|Adventure,+0.849|+0.421|+0.369,7,13,1,13
5773,popularity|modern|contemporary,+0.411|+0.367|+0.305,11,9,17,14
5772,contemporary|popularity|Adventure,+0.882|+0.298|+0.226,10,10,1,4
5771,classic|Adventure|popularity,+0.561|+0.318|+0.282,8,12,4,11
5770,Drama|popularity|War,+0.827|+0.257|+0.160,4,16,2,1
5769,popularity|contemporary|Fantasy,+0.261|+0.260|+0.242,12,8,14,10
5768,Romance|Musical|War,+0.912|+0.377|+0.326,6,14,7,5
5767,contemporary|popularity|Thriller,+0.590|+0.457|+0.368,12,8,12,14
5766,contemporary|popularity|modern,+0.621|+0.496|+0.297,10,10,12,11
5765,popularity|Animation|Documentary,+0.646|+0.271|+0.238,10,10,19,20
5764,Romance|popularity|Musical,+0.903|+0.370|+0.310,6,14,12,6
5763,Horror|Sci-Fi|popularity,+0.920|+0.330|+0.264,8,12,5,2
5762,Comedy|Fantasy|Musical,+0.857|+0.213|+0.207,9,11,1,3
5761,Comedy|popularity|contemporary,+0.453|+0.442|+0.255,15,5,20,20
5760,Comedy|popularity|modern,+0.739|+0.426|+0.390,7,13,14,11
5759,Comedy|modern|popularity,+0.808|+0.370|+0.261,10,10,9,8
5758,Thriller|popularity|classic,+0.723|+0.301|+0.283,12,8,3,4
5757,Action|popularity|War,+0.607|+0.468|+0.255,13,7,18,16
5756,popularity|Musical|classic,+0.616|+0.597|+0.345,13,7,10,12
5755,modern|Thriller|Horror,+0.255|+0.177|+0.133,8,12,1,2
5754,contemporary|popularity|Animation,+0.756|+0.479|+0.330,9,11,5,5
5753,popularity|contemporary|Thriller,+0.389|+0.304|+0.268,16,4,10,7
5752,modern|popularity|Drama,+0.572|+0.533|+0.232,5,15,16,9
5751,Animation|Fantasy|modern,+0.548|+0.419|+0.413,14,6,0,0
5750,classic|Documentary|popularity,+0.370|+0.351|+0.325,8,12,14,17
5749,Crime|popularity|Action,+0.652|+0.286|+0.234,12,8,9,12
5748,popularity|Action|Horror,+0.626|+0.321|+0.278,10,10,20,17
5747,retro|popularity|Fantasy,+0.643|+0.424|+0.264,7,13,15,13
5746,Drama|popularity|War,+0.654|+0.542|+0.180,10,10,13,17
5745,Fantasy|popularity|Adventure,+0.923|+0.395|+0.344,13,7,7,8
5744,Animation|Musical|retro,+0.331|+0.328|+0.292,17,3,0,0
5743,popularity|War|Drama,+0.561|+0.288|+0.244,7,13,12,12
5742,Musical|classic|Animation,+0.802|+0.449|+0.432,12,8,5,9
5741,Sci-Fi|retro|Fantasy,+0.530|+0.381|+0.348,9,11,6,2
5740,Adventure|retro|Fantasy,+0.683|+0.510|+0.386,10,10,1,11
5739,Horror|popularity|Sci-Fi,+0.834|+0.375|+0.283,14,6,6,4
5738,Western|popularity|Animation,+0.369|+0.336|+0.315,16,4,8,5
5737,contemporary|popularity|Drama,+0.585|+0.493|+0.276,9,11,6,9
5736,popularity|Comedy|contemporary,+0.514|+0.339|+0.284,13,7,15,8
5735,popularity|Drama|classic,+0.419|+0.389|+0.297,13,7,19,20
5734,popularity|Drama|Documentary,+0.577|+0.253|+0.197,6,14,16,15
5733,contemporary|popularity|Action,+0.655|+0.549|+0.232,11,9,12,9
5732,Romance|popularity|Mystery,+0.795|+0.372|+0.251,7,13,15,9
5731,Action|popularity|Sci-Fi,+0.776|+0.437|+0.252,3,17,20,11
5730,Crime|popularity|Thriller,+0.722|+0.608|+0.325,10,10,11,15
5729,Horror|Sci-Fi|contemporary,+0.919|+0.302|+0.275,8,12,0,0
5728,Comedy|Documentary|Fantasy,+0.456|+0.374|+0.296,17,3,0,0
5727,contemporary|popularity|Western,+0.351|+0.346|+0.337,17,3,7,6
5726,Fantasy|popularity|Crime,+0.878|+0.503|+0.313,12,8,12,10
5725,contemporary|popularity|Documentary,+0.362|+0.282|+0.243,15,5,11,10
5724,contemporary|popularity|Mystery,+0.676|+0.521|+0.231,16,4,12,12
5723,contemporary|popularity|Animation,+0.680|+0.543|+0.272,13,7,11,13
5722,popularity|Documentary|Drama,+0.379|+0.260|+0.260,7,13,12,9
5721,popularity|Documentary|classic,+0.383|+0.361|+0.335,11,9,19,19
5720,Fantasy|Adventure|Animation,+0.900|+0.375|+0.356,19,1,3,3
5719,contemporary|popularity|classic,+0.263|+0.243|+0.230,12,8,4,0
5718,modern|popularity|Drama,+0.640|+0.380|+0.244,2,18,11,12
5717,contemporary|popularity|Documentary,+0.631|+0.456|+0.241,13,7,11,13
5716,Documentary|popularity|Fantasy,+0.887|+0.353|+0.317,14,6,1,4
5715,Action|popularity|Sci-Fi,+0.748|+0.425|+0.298,2,18,16,6
5714,Fantasy|Documentary|Animation,+0.235|+0.189|+0.188,14,6,10,8
5713,Comedy|popularity|modern,+0.757|+0.382|+0.373,8,12,15,12
5712,Action|popularity|Sci-Fi,+0.821|+0.355|+0.267,6,14,19,10
5711,Thriller|modern|Mystery,+0.701|+0.300|+0.294,9,11,0,2
5710,Thriller|popularity|Mystery,+0.675|+0.514|+0.391,9,11,13,10
5709,popularity|Comedy|Romance,+0.599|+0.389|+0.220,12,8,20,18
5708,Sci-Fi|popularity|Fantasy,+0.842|+0.450|+0.330,9,11,14,11
5707,modern|popularity|Animation,+0.525|+0.431|+0.201,5,15,15,15
5706,Comedy|popularity|modern,+0.734|+0.419|+0.354,10,10,10,12
5705,popularity|Fantasy|Animation,+0.678|+0.285|+0.284,7,13,18,19
5704,Comedy|Musical|popularity,+0.732|+0.331|+0.284,14,6,5,1
5703,Horror|popularity|Sci-Fi,+0.852|+0.313|+0.297,10,10,5,4
5702,Animation|Musical|popularity,+0.872|+0.499|+0.291,15,5,1,0
5701,Action|popularity|War,+0.627|+0.505|+0.243,13,7,18,18
5700,popularity|modern|Animation,+0.628|+0.452|+0.167,2,18,17,16
5699,Thriller|popularity|Mystery,+0.847|+0.329|+0.296,7,13,9,5
5698,Sci-Fi|popularity|Adventure,+0.801|+0.434|+0.373,12,8,17,11
5697,popularity|retro|Fantasy,+0.244|+0.199|+0.151,12,8,8,5
5696,Sci-Fi|popularity|Fantasy,+0.727|+0.453|+0.308,7,13,17,13
5695,Sci-Fi|popularity|Fantasy,+0.814|+0.399|+0.314,10,10,14,10
5694,popularity|Musical|Animation,+0.415|+0.314|+0.299,16,4,13,10
5693,Drama|popularity|Documentary,+0.639|+0.235|+0.199,7,13,9,8
5692,modern|popularity|Drama,+0.537|+0.427|+0.283,8,12,16,17
5691,Comedy|popularity|Musical,+0.858|+0.333|+0.202,7,13,9,7
5690,popularity|Drama|Mystery,+0.572|+0.562|+0.244,8,12,16,20
5689,popularity|contemporary|Documentary,+0.464|+0.389|+0.327,12,8,12,15
5688,popularity|Animation|Thriller,+0.635|+0.232|+0.197,1,19,19,12
5687,Adventure|Fantasy|Action,+0.819|+0.378|+0.334,12,8,1,5
5686,Animation|Musical|classic,+0.753|+0.399|+0.366,12,8,4,8
5685,popularity|contemporary|Western,+0.414|+0.360|+0.350,16,4,10,10
5684,Comedy|popularity|Documentary,+0.837|+0.294|+0.195,9,11,6,7
5683,popularity|modern|Comedy,+0.566|+0.410|+0.239,12,8,18,19
5682,popularity|Drama|modern,+0.539|+0.286|+0.213,1,19,12,5
